time,time,flux,flux_err
1711.3675622914366,1711.3675622914366,0.9954275640884959,0.020878325296609688
1711.3689512085914,1711.3689512085914,1.0117431485860655,0.021087696476822956
1711.370340125979,1711.370340125979,0.9779329786239518,0.021098109237019245
1711.3717290431346,1711.3717290431346,0.9971515636389557,0.020997353491555737
1711.3731179602903,1711.3731179602903,1.0129630562904797,0.020901936528573323
1711.374506877678,1711.374506877678,0.9925990325271216,0.02113538935815732
1711.3758957948328,1711.3758957948328,1.0053719799288543,0.020903478112072393
1711.3772847119885,1711.3772847119885,1.0023499468622092,0.020959118156273573
1711.3786736291447,1711.3786736291447,0.976896444822187,0.020945237150927252
1711.380062546533,1711.380062546533,0.9964547255264231,0.020939023652196354
1711.3814514636879,1711.3814514636879,0.974624099924484,0.02092940462541136
1711.3828403808434,1711.3828403808434,0.9800174792635578,0.02089551021160336
1711.384229297999,1711.384229297999,1.0001206933426061,0.020920745785960194
1711.385618215154,1711.385618215154,1.0092060386121295,0.02091936291716464
1711.3870071323088,1711.3870071323088,1.0020241445070892,0.02089711149243538
1711.3883960494643,1711.3883960494643,0.9813911419308019,0.020909106146296378
1711.38978496662,1711.38978496662,0.9850864664044527,0.02103892111561657
1711.3911738835427,1711.3911738835427,0.9796468461390797,0.0208854449803184
1711.3925628006982,1711.3925628006982,0.9944121726241936,0.021035791231522702
1711.3939517178537,1711.3939517178537,0.9888478142262583,0.02093557468790096
1711.3953406350092,1711.3953406350092,0.9890537402613904,0.02089126797994883
1711.3967295519315,1711.3967295519315,0.9850945548216066,0.02090789527746472
1711.3981184690863,1711.3981184690863,0.9947731744641455,0.020905670599525368
1711.3995073862418,1711.3995073862418,1.003794537547798,0.02090510744825269
1711.4008963031645,1711.4008963031645,1.0199891495528661,0.020938015999217886
1711.4022852203202,1711.4022852203202,1.0083066582514717,0.02097698113004715
1711.403674137243,1711.403674137243,0.9924775363885395,0.020899037640638322
1711.4050630543984,1711.4050630543984,0.9839226397607771,0.020912849436746324
1711.406451971321,1711.406451971321,0.9948149927246679,0.020933122829849146
1711.4078408882433,1711.4078408882433,0.9930579139533017,0.020947898409857085
1711.4092298053981,1711.4092298053981,0.9886660826875866,0.020904664248234672
1711.4106187223208,1711.4106187223208,0.9988143350422786,0.02093779720769786
1711.4120076392435,1711.4120076392435,0.9713599864563109,0.02096476920326055
1711.4133965561655,1711.4133965561655,0.9950309446472609,0.020937383663381798
1711.4147854730884,1711.4147854730884,1.0091094442485533,0.020910559965346933
1711.4161743902446,1711.4161743902446,1.0005039409846743,0.020945720717888073
1711.4175633071673,1711.4175633071673,1.0092363759206662,0.020983683884038484
1711.4189522240893,1711.4189522240893,0.9970638599773823,0.020944500543521486
1711.4203411410112,1711.4203411410112,1.0028837364121836,0.02094691912221434
1711.4217300579342,1711.4217300579342,0.9882087850467104,0.020926330665152437
1711.4231189748568,1711.4231189748568,0.9762401371221073,0.02094343540646509
1711.4245078917788,1711.4245078917788,1.0118752496385042,0.02093557797860737
1711.4258968084682,1711.4258968084682,0.9889287512797208,0.02090400841825069
1711.4272857253916,1711.4272857253916,1.0249406756788326,0.021006164366667544
1711.428674642315,1711.428674642315,1.0055386903659147,0.020938255114867417
1711.430063559237,1711.430063559237,1.0108264290595026,0.020925729204301413
1711.431452475926,1711.431452475926,0.9894655504940573,0.02092885695525377
1711.432841392849,1711.432841392849,1.0051086058732337,0.02096709515745427
1711.4342303097717,1711.4342303097717,0.9919977625907079,0.020903016541925255
1711.4356192264609,1711.4356192264609,1.0025459534293502,0.020945608133390223
1711.4370081433829,1711.4370081433829,1.0039875530998765,0.02102072822746669
1711.438397060073,1711.438397060073,0.9854585728373916,0.020907808796469158
1711.4397859769963,1711.4397859769963,0.9909052796258805,0.020927658150761485
1711.4411748936861,1711.4411748936861,1.0030879902475573,0.020962208633553057
1711.4425638106081,1711.4425638106081,1.009199188740386,0.020909570193390563
1711.443952727298,1711.443952727298,0.9994941538330518,0.020993509161632135
1711.445341643988,1711.445341643988,1.0077391729373468,0.020911798081479197
1711.44673056091,1711.44673056091,1.0075067716127188,0.020921008066394887
1711.4481194775992,1711.4481194775992,1.005662951769769,0.02111492186192914
1711.4495083942893,1711.4495083942893,0.9863450709139083,0.020919514867481143
1711.4508973109798,1711.4508973109798,0.984147084143394,0.020952906540802962
1711.4522862279025,1711.4522862279025,0.9840551545587111,0.02094238445764757
1711.4536751445917,1711.4536751445917,0.9819414735786762,0.02092081522408546
1711.4550640612815,1711.4550640612815,1.0056225763160052,0.020956768362481414
1711.4564529779714,1711.4564529779714,0.9968903543745093,0.02096376759621043
1711.4578418946608,1711.4578418946608,0.9558927644678504,0.02090353606629854
1711.45923081135,1711.45923081135,0.9730276719455093,0.020918602252428524
1711.4606197280398,1711.4606197280398,0.9789040306050671,0.02097058485109479
1711.4620086447298,1711.4620086447298,1.0136584925372363,0.020971609689818312
1711.4633975614197,1711.4633975614197,0.9805256889643312,0.02090459253464901
1711.4647864778767,1711.4647864778767,1.013952562057543,0.02093135706481126
1711.4661753945666,1711.4661753945666,0.9675828284836592,0.020896080417559172
1711.4675643112564,1711.4675643112564,1.0039077170949158,0.021028875433794513
1711.4689532279458,1711.4689532279458,0.9945146654969738,0.02097124882355941
1711.4703421444021,1711.4703421444021,1.027600110955518,0.02094164034057473
1711.471731061092,1711.471731061092,0.9913322268100045,0.020910914261657393
1711.4731199777818,1711.4731199777818,1.0068350343167292,0.020915769316765875
1711.4745088942382,1711.4745088942382,1.0275529126012057,0.020954656232579617
